Country,Project,Expedition,Location,Date,SiteID,First Observer,Second Observer
Israel,Bioblitz,Bioblitz Fall 2021,Achziv,26/10/2021,4,Sarah Ohayon,
,,,,,11,Sarah Ohayon,
,,,,,18,Sarah Ohayon,
,,,,,3,Mai Lazarus,
,,,,,13,Mai Lazarus,
,,,,,20,Mai Lazarus,
,,,,,2,Shahar Chaikin,Yuval Goth
,,,,,10,Shahar Chaikin,Yuval Goth
,,,,,17,Shahar Chaikin,Yuval Goth
,,,,,5,Tal Gavriel,Alon Penn
,,,,,12,Tal Gavriel,Alon Penn
,,,,,19,Tal Gavriel,Alon Penn
,,,,,1,Shevy Rothman,Hagai Nativ
,,,,,14,Shevy Rothman,Hagai Nativ
,,,,,21,Shevy Rothman,Hagai Nativ
,,,,,7,Shahar Malamud,
,,,,,9,Shahar Malamud,
,,,,,16,Shahar Malamud,
,,,,,6,Shai Einbinder,Ori Hepner
,,,,,8,Shai Einbinder,Ori Hepner
,,,,,15,Shai Einbinder,Ori Hepner
