Country,Project,Expedition,Location,Date,SiteID,First Observer,Second Observer
Israel,Bioblitz,Bioblitz Fall 2021,Gdor,29/09/2021,12,Shahar Chaikin,Ori Hepner
,,,,,8,Shahar Chaikin,Ori Hepner
,,,,,4,Shahar Chaikin,Ori Hepner
,,,,,11,Tal Gavriel,Hezi Buba
,,,,,7,Tal Gavriel,Hezi Buba
,,,,,3,Tal Gavriel,Hezi Buba
,,,,,10,Shevy Rothman,Mai Lazarus
,,,,,2,Shevy Rothman,Mai Lazarus
,,,,,6,Shevy Rothman,Mai Lazarus
,,,,,9,Shahar Malamud,Alon Penn
,,,,,1,Shahar Malamud,Alon Penn
,,,,,5,Shahar Malamud,Alon Penn
