Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp June 2021,Caves,22.6.2021,17,Hezi Buba,Yuval Goth
,,,,,4,Hezi Buba,Yuval Goth
,,,,,9,Hezi Buba,Yuval Goth
,,,,,10,Hezi Buba,Yuval Goth
,,,,,1,Tal Perevolotsky,Sagi Marom
,,,,,16,Tal Perevolotsky,Sagi Marom
,,,,,2,Tal Perevolotsky,Sagi Marom
,,,,,7,Tal Perevolotsky,Sagi Marom
,,,,,8,Tal Perevolotsky,Sagi Marom
,,,,,5,Tal Gavriel,Julia Cerutti
,,,,,6,Tal Gavriel,Julia Cerutti
,,,,,13,Tal Gavriel,Julia Cerutti
,,,,,14,Tal Gavriel,Julia Cerutti
,,,,,11,Mai Lazarus,Noy Shapira
,,,,,12,Mai Lazarus,Noy Shapira
,,,,,15,Mai Lazarus,Noy Shapira
,,,,,3,Mai Lazarus,Noy Shapira
