Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp June 2021,Katza,24.6.2021,24,Tal Gavriel,Shahar Malamud
,,,,,23,Tal Gavriel,Shahar Malamud
,,,,,22,Tal Gavriel,Shahar Malamud
,,,,,7,Tal Gavriel,Shahar Malamud
,,,,,5,Tal Gavriel,Shahar Malamud
,,,,,11,Tal Gavriel,Shahar Malamud
,,,,,12,Tal Gavriel,Shahar Malamud
,,,,,19,Tal Gavriel,Shahar Malamud
,,,,,15,Tal Gavriel,Shahar Malamud
,,,,,16,Tal Gavriel,Shahar Malamud
,,,,,14,Tal Gavriel,Shahar Malamud
,,,,,20,Hezi Buba,Shir Bar
,,,,,8,Hezi Buba,Shir Bar
,,,,,9,Hezi Buba,Shir Bar
,,,,,10,Hezi Buba,Shir Bar
,,,,,7,Sagi Marom,Roi Holzman
,,,,,6,Sagi Marom,Roi Holzman
,,,,,21,Sagi Marom,Roi Holzman
,,,,,3,Sagi Marom,Roi Holzman
,,,,,4,Sagi Marom,Roi Holzman
,,,,,18,Sagi Marom,Roi Holzman
,,,,,17,Yoni Belmaker,Yuval Goth
,,,,,2,Yoni Belmaker,Yuval Goth
,,,,,1,Yoni Belmaker,Yuval Goth
