Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp October 2020,Caves,12/10/2020,17,Tal Gavriely,Liron Kraushar
,,,,,4,Tal Gavriely,Liron Kraushar
,,,,,2,Shahar Chaikin,Yamit Romano
,,,,,16,Shahar Chaikin,Yamit Romano
,,,,,1,Shahar Chaikin,Yamit Romano
,,,,,15,Yoni Belmaker,Rei Diga
,,,,,3,Yoni Belmaker,Rei Diga
,,,,,5,Hava Wandel,Roi Holzman
,,,,,6,Hava Wandel,Roi Holzman
,,,,,7,Shevy Rothman,Sarah Ohayon
,,,,,8,Shevy Rothman,Sarah Ohayon
,,,,,9,Hezi Buba,Sagi Marom
,,,,,10,Hezi Buba,Sagi Marom
,,,,,11,Hezi Buba,Sagi Marom
,,,,,12,Mai Lazarus,Tal Perevolotsky
,,,,,13,Mai Lazarus,Tal Perevolotsky
,,,,,14,Mai Lazarus,Tal Perevolotsky
