Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp October 2020,Katza,13/10/2020,17,Hava Wandel,Liron Kraushar
,,,,,18,Hava Wandel,Liron Kraushar
,,,,,16,Shevy Rothman,Yamit Romano
,,,,,10,Shevy Rothman,Yamit Romano
,,,,,13,Tal Perevolotsky,Roi Holzman
,,,,,14,Tal Perevolotsky,Roi Holzman
,,,,,15,Tal Perevolotsky,Roi Holzman
,,,,,11,Hezi Buba,Shira Salingre
,,,,,12,Hezi Buba,Shira Salingre
,,,,,8,Sarah Ohayon,Sagi Marom
,,,,,9,Sarah Ohayon,Sagi Marom
,,,,,6,Sarah Ohayon,Liron Kraushar
,,,,,4,Sarah Ohayon,Liron Kraushar
,,,,,20,Tal Perevolotsky,Shira Salingre
,,,,,22,Tal Perevolotsky,Shira Salingre
,,,,,7,Shevy Rothman,Sagi Marom
,,,,,23,Shevy Rothman,Sagi Marom
,,,,,24,Shevy Rothman,Sagi Marom
,,,,,21,Hezi Buba,Yamit Romano
,,,,,3,Hezi Buba,Yamit Romano
,,,,,5,Hezi Buba,Yamit Romano
,,,,,1,Hava Wandel,Roi Holzman
,,,,,2,Hava Wandel,Roi Holzman
,,,,,19,Hava Wandel,Roi Holzman
