Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp October 2020,Princess,13/10/2020,1,Hezi Buba,Shahar Chaikin
,,,,,18,Hezi Buba,Shahar Chaikin
,,,,,19,Hezi Buba,Shahar Chaikin
,,,,,6,Mai Lazarus,Yamit Romano
,,,,,15,Mai Lazarus,Yamit Romano
,,,,,2,Tal Gavriely,Sarah Ohayon
,,,,,14,Tal Gavriely,Sarah Ohayon
,,,,,20,Yoni Belmaker,Liron Kraushar
,,,,,21,Yoni Belmaker,Liron Kraushar
,,,,,3,Tal Perevolotsky,Rei Diga
,,,,,13,Tal Perevolotsky,Rei Diga
,,,,,4,Shevy Rothman,Shevy Rothman
,,,,,5,Shevy Rothman,Shevy Rothman
,,,,,7,Hava Wandel,Sagi Marom
,,,,,16,Hava Wandel,Sagi Marom
