Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp October 2020,Reserve,12/10/2020,1,Shahar Chaikin,Rei Diga
,,,,,2,Shahar Chaikin,Rei Diga
,,,,,17,Shahar Chaikin,Rei Diga
,,,,,5,Shevy Rothman,Liron Kraushar
,,,,,16,Shevy Rothman,Liron Kraushar
,,,,,4,Yoni Belmaker,Yamit Romano
,,,,,3,Yoni Belmaker,Yamit Romano
,,,,,15,Yoni Belmaker,Yamit Romano
,,,,,12,Mai Lazarus,Hava Wendel
,,,,,13,Mai Lazarus,Hava Wendel
,,,,,14,Hezi Buba,Roi Holzman
,,,,,7,Hezi Buba,Roi Holzman
,,,,,8,Tal Gavriely,Sagi Marom
,,,,,9,Tal Gavriely,Sagi Marom
,,,,,10,Tal Perevolotsky,Sarah Ohayon
,,,,,11,Tal Perevolotsky,Sarah Ohayon
,,,,,18,Tal Perevolotsky,Sarah Ohayon
